,TSLA,AAPL,GOOG,NFLX
enterpriseToEbitda,36.28,16.39,18.796,59.892
forwardPE,71.799995,18.827078,24.950047,58.436474
bookValue,33.556,20.365,282.193,15.657
earningsQuarterlyGrowth,-0.54,-0.031,-0.231,0.651
beta,0.580101,1.228499,1.022765,1.301854
profitMargins,-0.03387,0.21238,0.21037,0.0749
priceToBook,11.554417,13.793273,4.796505,20.564922
enterpriseToRevenue,3.237,4.818,5.342,7.807
