Date,AAPL,GOOG,NFLX,TSLA
2009-08-03,20.687271118164062,225.2606658935547,6.424285888671875,
2009-08-04,20.57788848876953,226.017822265625,6.311428546905518,
2009-08-05,20.523195266723633,224.7276611328125,6.329999923706055,
2009-08-06,20.374034881591797,224.33912658691406,6.214285850524902,
2009-08-07,20.572912216186523,227.696533203125,6.4285712242126465,
2009-08-10,20.474720001220703,227.45245361328125,6.5428571701049805,
2009-08-11,20.23978614807129,226.1224365234375,6.584285736083984,
2009-08-12,20.54805564880371,228.43377685546875,6.611428737640381,
2009-08-13,20.93462562561035,230.27687072753906,6.611428737640381,
2009-08-14,20.730775833129883,229.14112854003906,6.355714321136475,
2009-08-17,19.83705711364746,221.6143341064453,6.158571243286133,
2009-08-18,20.38521957397461,221.80860900878906,6.221428394317627,
2009-08-19,20.45979881286621,221.1560516357422,6.409999847412109,
2009-08-20,20.67484474182129,229.34535217285156,6.425714492797852,
2009-08-21,21.034067153930664,231.7513427734375,6.442857265472412,
2009-08-24,21.01418113708496,233.4898223876953,6.331428527832031,
2009-08-25,21.056442260742188,234.80490112304688,6.351428508758545,
2009-08-26,20.8090877532959,233.12619018554688,6.281428337097168,
2009-08-27,21.062658309936523,232.15980529785156,6.25,
2009-08-28,21.137235641479492,231.5072479248047,6.317142963409424,
2009-08-31,20.908531188964844,229.97300720214844,6.2328572273254395,
2009-09-01,20.54680824279785,227.02903747558594,6.02142858505249,
2009-09-02,20.53190040588379,225.6591796875,5.968571662902832,
2009-09-03,20.702184677124023,227.90574645996094,5.755714416503906,
2009-09-04,21.169553756713867,229.7886962890625,5.849999904632568,
2009-09-08,21.49522590637207,228.45370483398438,5.925714492797852,
2009-09-09,21.272727966308594,231.11871337890625,6.175714492797852,
2009-09-10,21.449228286743164,234.5906982421875,6.214285850524902,
2009-09-11,21.39951515197754,235.18846130371094,6.094285488128662,
2009-09-14,21.593416213989258,236.6728973388672,6.182857036590576,
2009-09-15,21.772411346435547,237.8783721923828,6.424285888671875,
2009-09-16,22.60647201538086,243.23330688476562,6.685714244842529,
2009-09-17,22.939594268798828,244.94189453125,6.634285926818848,
2009-09-18,22.99801254272461,244.8123779296875,6.77142858505249,
2009-09-21,22.873714447021484,247.57203674316406,6.785714149475098,
2009-09-22,22.930889129638672,248.5981903076172,6.8185715675354,
2009-09-23,23.05767250061035,248.29931640625,6.692857265472412,
2009-09-24,22.84885025024414,247.4574737548828,6.659999847412109,
2009-09-25,22.668615341186523,245.3204803466797,6.608571529388428,
2009-09-28,23.13846778869629,248.3341827392578,6.567142963409424,
2009-09-29,23.04275894165039,248.3341827392578,6.608571529388428,
2009-09-30,23.039031982421875,246.9991912841797,6.595714092254639,
2009-10-01,22.480918884277344,242.69033813476562,6.374285697937012,
2009-10-02,22.983089447021484,241.38522338867188,6.388571262359619,
2009-10-05,23.122312545776367,243.34786987304688,6.488571643829346,
2009-10-06,23.618268966674805,248.4387969970703,6.595714092254639,
2009-10-07,23.64809799194336,257.8036804199219,6.607142925262451,
2009-10-08,23.526287078857422,256.1299743652344,6.577142715454102,
2009-10-09,23.675447463989258,257.1611022949219,6.701428413391113,
2009-10-12,23.717708587646484,261.04156494140625,6.579999923706055,
2009-10-13,23.619508743286133,262.07269287109375,6.641428470611572,
2009-10-14,23.777372360229492,266.6604919433594,6.867142677307129,
2009-10-15,23.686635971069336,263.9656066894531,7.192857265472412,
2009-10-16,23.374643325805664,273.89837646484375,6.998571395874023,
2009-10-19,23.59962272644043,275.0141906738281,7.114285945892334,
2009-10-20,24.70589256286621,274.8298645019531,6.994285583496094,
2009-10-21,25.471580505371094,274.5210266113281,6.835714340209961,
2009-10-22,25.50638771057129,276.01043701171875,7.090000152587891,
2009-10-23,25.349769592285156,275.8111877441406,7.841428756713867,
2009-10-26,25.16829490661621,276.0702209472656,7.8814287185668945,
2009-10-27,24.533119201660156,273.12127685546875,7.748571395874023,
2009-10-28,23.91534423828125,269.1412048339844,7.648571491241455,
2009-10-29,24.406330108642578,274.4961242675781,7.902857303619385,
2009-10-30,23.430578231811523,267.0589904785156,7.635714054107666,
2009-11-02,23.53126335144043,265.99798583984375,7.685714244842529,
2009-11-03,23.461652755737305,267.6418151855469,7.6785712242126465,
2009-11-04,23.717708587646484,269.1561279296875,7.737143039703369,
2009-11-05,24.117956161499023,273.30059814453125,8.05571460723877,
2009-11-06,24.156482696533203,274.5210266113281,7.980000019073486,
2009-11-09,25.041505813598633,280.2047119140625,8.171428680419922,
2009-11-10,25.230438232421875,282.32177734375,8.342857360839844,
2009-11-11,25.264001846313477,284.2146911621094,8.49142837524414,
2009-11-12,25.107385635375977,282.86474609375,8.312856674194336,
2009-11-13,25.413156509399414,284.9569091796875,8.475714683532715,
2009-11-16,25.684139251708984,287.06402587890625,8.494285583496094,
2009-11-17,25.730127334594727,287.666748046875,8.678571701049805,
2009-11-18,25.600854873657227,287.2483215332031,8.732856750488281,
2009-11-19,24.923416137695312,285.4251708984375,8.60857105255127,
2009-11-20,24.85008430480957,283.9158020019531,8.567142486572266,
2009-11-23,25.590911865234375,290.0876770019531,8.625714302062988,
2009-11-24,25.41191864013672,290.456298828125,8.524285316467285,
2009-11-25,25.380844116210938,291.7763366699219,8.460000038146973,
2009-11-27,24.933364868164062,288.7975158691406,8.264286041259766,
2009-11-30,24.848840713500977,290.4114685058594,8.375714302062988,
2009-12-01,24.483394622802734,293.8336486816406,8.318571090698242,
2009-12-02,24.39141845703125,292.6580505371094,8.428571701049805,
2009-12-03,24.42249298095703,291.7763366699219,8.284285545349121,
2009-12-04,24.029699325561523,291.4127197265625,8.032856941223145,
2009-12-07,23.486513137817383,292.0303955078125,7.987143039703369,
2009-12-08,23.600866317749023,292.42889404296875,7.988571643829346,
2009-12-09,24.58656883239746,293.41021728515625,7.994285583496094,
2009-12-10,24.41627311706543,294.6455993652344,8.105713844299316,
2009-12-11,24.197509765625,294.1524353027344,7.9571428298950195,
2009-12-14,24.484638214111328,296.752685546875,8.058571815490723,
2009-12-15,24.13536262512207,295.4625244140625,8.131428718566895,
2009-12-16,24.24225425720215,297.763916015625,7.8685712814331055,
2009-12-17,23.84822654724121,295.8610534667969,7.675714492797852,
2009-12-18,24.29197883605957,297.0964050292969,7.610000133514404,
2009-12-21,24.6400146484375,298.2221984863281,7.708571434020996,
2009-12-22,24.904773712158203,299.4376220703125,7.658571243286133,
2009-12-23,25.121055603027344,304.6979064941406,8.121428489685059,
2009-12-24,25.983705520629883,308.0852355957031,8.127142906188965,
2009-12-28,26.303152084350586,310.27203369140625,8.191428184509277,
2009-12-29,25.99115753173828,308.54351806640625,8.140000343322754,
2009-12-30,26.30687713623047,310.2022705078125,7.947143077850342,
2009-12-31,26.193771362304688,308.8324279785156,7.869999885559082,
2010-01-04,26.601469039916992,312.20477294921875,7.639999866485596,
2010-01-05,26.647457122802734,310.8299255371094,7.358571529388428,
2010-01-06,26.223596572875977,302.9942932128906,7.617142677307129,
2010-01-07,26.175119400024414,295.94073486328125,7.485714435577393,
2010-01-08,26.349140167236328,299.8859558105469,7.614285945892334,
2010-01-11,26.116703033447266,299.4326477050781,7.604285717010498,
2010-01-12,25.819623947143555,294.13751220703125,7.481428623199463,
2010-01-13,26.183822631835938,292.4488220214844,7.708571434020996,
2010-01-14,26.03217887878418,293.82366943359375,7.284285545349121,
2010-01-15,25.597126007080078,288.91705322265625,7.278571605682373,
2010-01-19,26.7294979095459,292.71282958984375,7.314285755157471,
2010-01-20,26.318065643310547,289.1213073730469,7.320000171661377,
2010-01-21,25.86312484741211,290.4014892578125,7.312857151031494,
2010-01-22,24.58034896850586,273.9780578613281,7.269999980926514,
2010-01-25,25.241626739501953,268.99176025390625,7.018571376800537,
2010-01-26,25.598369598388672,270.1972351074219,7.135714054107666,
2010-01-27,25.839513778686523,270.037841796875,7.281428337097168,
2010-01-28,24.771774291992188,266.14739990234375,9.005714416503906,
2010-01-29,23.873083114624023,263.98052978515625,8.892857551574707,
2010-02-01,24.2049617767334,265.5147705078125,8.718571662902832,
