,AAPL,GOOG,NFLX,TSLA
count,179.0,179.0,179.0,114.0
mean,0.027,0.018,0.041,0.036
std,0.092,0.082,0.158,0.159
min,-0.33,-0.185,-0.518,-0.246
25%,-0.022,-0.03,-0.056,-0.069
50%,0.034,0.016,0.038,0.006
75%,0.084,0.062,0.128,0.113
max,0.238,0.304,0.785,0.811
